From,To,Lag,P_value,Correlation,Causal,Type
X2,X5,2,0.634,0.06174126144303413,False,Lag2
X1,X2,2,0.65,0.06100225763916269,False,Lag2
X2,X6,1,0.692,0.05975683752801982,False,Lag1
X3,X4,2,0.7,0.05962518549737252,False,Lag2
X3,X2,0,0.72,0.058983564420790474,False,Simultaneous
X2,X3,0,0.72,0.058983564420790474,False,Simultaneous
X5,X2,0,0.732,0.05866717133517572,False,Simultaneous
X2,X5,0,0.732,0.05866717133517572,False,Simultaneous
X6,X5,1,0.752,0.057809238751786625,False,Lag1
X3,X6,2,0.762,0.05755755699488387,False,Lag2
X1,X1,1,0.764,0.05742890094303566,False,Lag1
X4,X2,0,0.77,0.057270040731841984,False,Simultaneous
X2,X4,0,0.77,0.057270040731841984,False,Simultaneous
X6,X5,2,0.78,0.056899715231423724,False,Lag2
X3,X3,2,0.782,0.05687986736886996,False,Lag2
X5,X3,2,0.784,0.05665090459722566,False,Lag2
X6,X1,2,0.786,0.056530904346282156,False,Lag2
X3,X2,2,0.794,0.056287548240683015,False,Lag2
X5,X5,1,0.804,0.05584899749135543,False,Lag1
X4,X5,1,0.822,0.055412951806917764,False,Lag1
X5,X1,1,0.85,0.05395400443547801,False,Lag1
X3,X5,2,0.858,0.05355864763318678,False,Lag2
X2,X5,1,0.876,0.05277135711008565,False,Lag1
X4,X6,1,0.892,0.0517324802060605,False,Lag1
X4,X3,2,0.896,0.05136878449686818,False,Lag2
X5,X4,2,0.904,0.050984730770741116,False,Lag2
X5,X3,0,0.934,0.04966992770135837,False,Simultaneous
X1,X5,2,0.934,0.04987668259557009,False,Lag2
X3,X5,0,0.934,0.04966992770135837,False,Simultaneous
X2,X2,2,0.946,0.048695773671499264,False,Lag2
X1,X3,1,0.956,0.04765438184413237,False,Lag1
X4,X3,1,0.958,0.047428859955330034,False,Lag1
X3,X6,1,0.968,0.04593599952158549,False,Lag1
X4,X2,2,0.978,0.044421904230352284,False,Lag2
X5,X6,2,0.982,0.04293637191696428,False,Lag2
X4,X1,0,0.988,0.04221084611498207,False,Simultaneous
X1,X4,0,0.988,0.04221084611498207,False,Simultaneous
X1,X1,0,1.0,0.0,False,Simultaneous
X2,X2,0,1.0,0.0,False,Simultaneous
X3,X3,0,1.0,0.0,False,Simultaneous
X4,X4,0,1.0,0.0,False,Simultaneous
X5,X5,0,1.0,0.0,False,Simultaneous
X6,X6,0,1.0,0.0,False,Simultaneous
