From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X6,X2,2,1.0,-1.9551808880699864e-05,False,Lag2,Lagged,0.010185815558432402,0.010205367367313102
X5,X5,1,1.0,-2.0548088686119653e-05,False,Lag1,Lagged,0.009821138416266318,0.009841686504952438
X1,X6,2,1.0,-2.5353803819036166e-05,False,Lag2,Lagged,0.010248791755088872,0.010274145558907908
X6,X6,1,1.0,-2.660992591447045e-05,False,Lag1,Lagged,0.010158028291463261,0.010184638217377731
X3,X3,3,1.0,-3.077822403234516e-05,False,Lag3,Lagged,0.010888392252447865,0.01091917047648021
X4,X6,1,1.0,-3.120533687483128e-05,False,Lag1,Lagged,0.010177896983564515,0.010209102320439346
X3,X3,2,1.0,-3.192153047129609e-05,False,Lag2,Lagged,0.01082693486676274,0.010858856397234036
X4,X2,1,1.0,-3.331119002924175e-05,False,Lag1,Lagged,0.010090798400442124,0.010124109590471365
X2,X3,1,1.0,-3.456536029186261e-05,False,Lag1,Lagged,0.010823466587050771,0.010858031947342634
X2,X1,1,1.0,-3.676360165560076e-05,False,Lag1,Lagged,0.010916224664164108,0.010952988265819709
X5,X3,3,1.0,-3.716867159356263e-05,False,Lag3,Lagged,0.010843827496599132,0.010880996168192695
X4,X2,2,1.0,-3.9073037731086196e-05,False,Lag2,Lagged,0.010028192276380217,0.010067265314111304
X5,X4,2,1.0,-4.526265211933847e-05,False,Lag2,Lagged,0.010135102885882047,0.010180365538001385
X4,X5,2,1.0,-4.5274110087475256e-05,False,Lag2,Lagged,0.00982855136496916,0.009873825475056636
X6,X6,3,1.0,-5.0729249053558384e-05,False,Lag3,Lagged,0.010213700034589832,0.01026442928364339
X5,X1,3,1.0,-5.1527192089275906e-05,False,Lag3,Lagged,0.010853882128707618,0.010905409320796894
X6,X2,3,1.0,-5.203466940881425e-05,False,Lag3,Lagged,0.01010760239061484,0.010159637060023654
X5,X2,1,1.0,-5.546158342870956e-05,False,Lag1,Lagged,0.010033435775101155,0.010088897358529865
X6,X6,2,1.0,-5.978779846125756e-05,False,Lag2,Lagged,0.01026403834628929,0.010323826144750548
X5,X5,2,1.0,-6.1076096277932e-05,False,Lag2,Lagged,0.00974635146241641,0.009807427558694341
X6,X4,3,1.0,-6.269459982549165e-05,False,Lag3,Lagged,0.01011746459102076,0.010180159190846251
X2,X2,1,1.0,-6.448496556687826e-05,False,Lag1,Lagged,0.010094780435750565,0.010159265401317443
X3,X1,1,1.0,-6.686100110665956e-05,False,Lag1,Lagged,0.010899618615320704,0.010966479616427363
X5,X4,1,1.0,-6.919994328442695e-05,False,Lag1,Lagged,0.010095027245856696,0.010164227189141123
X1,X6,1,1.0,-7.464226400220007e-05,False,Lag1,Lagged,0.010200522389339531,0.010275164653341731
X3,X5,2,1.0,-8.786022891344933e-05,False,Lag2,Lagged,0.009675308252226174,0.009763168481139624
X1,X1,1,1.0,-0.00010585052438889797,False,Lag1,Lagged,0.010846988933392704,0.010952839457781601
X4,X3,3,1.0,-0.00010830902690625414,False,Lag3,Lagged,0.010774427445786869,0.010882736472693123
X3,X6,1,1.0,-0.00011322445052114848,False,Lag1,Lagged,0.010167706749832308,0.010280931200353456
X3,X2,1,1.0,-0.00011508047704063273,False,Lag1,Lagged,0.010097113423106962,0.010212193900147595
X3,X5,3,1.0,-0.00012188728456342425,False,Lag3,Lagged,0.009656115526994427,0.009778002811557851
X4,X1,1,1.0,-0.00012891026362703804,False,Lag1,Lagged,0.010873131145869639,0.011002041409496677
X4,X3,1,1.0,-0.00013710292949551534,False,Lag1,Lagged,0.010785025118266942,0.010922128047762457
X6,X5,2,1.0,-0.00013912654867181268,False,Lag2,Lagged,0.009681258658694923,0.009820385207366736
X3,X5,1,1.0,-0.0001394952968728127,False,Lag1,Lagged,0.009719776497539875,0.009859271794412688
X1,X5,1,1.0,-0.00015220892653172377,False,Lag1,Lagged,0.009637107496770119,0.009789316423301843
X5,X6,3,1.0,-0.00015268003482535146,False,Lag3,Lagged,0.010158845417080028,0.01031152545190538
X5,X3,1,1.0,-0.0001820108983746297,False,Lag1,Lagged,0.01077921018855573,0.010961221086930359
X4,X6,3,1.0,-0.0001978619876187044,False,Lag3,Lagged,0.010170713384969029,0.010368575372587733
