datetime,video_count,total_likes,total_comments,total_shares,total_collects,comment_count,avg_comment_likes
2023-08-30 00:00:00,1.0,10.0,1.0,0.0,0.0,285,4835.638596491228
2023-08-30 12:00:00,2.0,8232.0,742.0,166.0,284.0,66,57.78787878787879
2023-08-31 00:00:00,4.0,895620.0,164115.0,159621.0,39824.0,103,1976.1747572815534
2023-08-31 12:00:00,4.0,5752184.0,308496.0,483364.0,328268.0,223,505.0269058295964
2023-09-01 00:00:00,1.0,11147.0,1213.0,729.0,614.0,213,145.9906103286385
2023-09-01 12:00:00,2.0,1055478.0,27576.0,87552.0,112136.0,152,445.67105263157896
2023-09-02 00:00:00,1.0,224218.0,25614.0,11557.0,10439.0,130,818.3384615384615
2023-09-02 12:00:00,0.0,0.0,0.0,0.0,0.0,140,112.1
2023-09-03 00:00:00,2.0,840.0,66.0,72.0,148.0,71,28.112676056338028
2023-09-03 12:00:00,4.0,13490.0,908.0,1874.0,1890.0,54,213.03703703703704
2023-09-04 00:00:00,2.0,56140.0,2784.0,10310.0,2980.0,104,15.096153846153847
2023-09-04 12:00:00,0.0,0.0,0.0,0.0,0.0,130,23.83076923076923
2023-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,68,23.514705882352942
2023-09-05 12:00:00,0.0,0.0,0.0,0.0,0.0,16,1.875
2023-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,25,1.16
2023-09-06 12:00:00,0.0,0.0,0.0,0.0,0.0,4,19.5
2023-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,10,2.1
2023-09-07 12:00:00,1.0,1332.0,6.0,704.0,676.0,12,0.6666666666666666
2023-09-08 00:00:00,1.0,14485.0,1283.0,2812.0,1829.0,18,57.0
2023-09-08 12:00:00,0.0,0.0,0.0,0.0,0.0,32,49.8125
2023-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,32,16.6875
2023-09-09 12:00:00,0.0,0.0,0.0,0.0,0.0,14,2.142857142857143
2023-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,23,22.391304347826086
2023-09-10 12:00:00,3.0,1029.0,3.0,168.0,480.0,5,0.6
2023-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,18,12.555555555555555
2023-09-11 12:00:00,0.0,0.0,0.0,0.0,0.0,16,2.0625
2023-09-12 00:00:00,1.0,254553.0,24143.0,80393.0,55117.0,13,199.6153846153846
2023-09-12 12:00:00,0.0,0.0,0.0,0.0,0.0,17,85.11764705882354
2023-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,28,40.75
2023-09-13 12:00:00,1.0,23.0,1.0,24.0,11.0,15,1.8
2023-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,34,30.176470588235293
2023-09-14 12:00:00,0.0,0.0,0.0,0.0,0.0,36,1.0833333333333333
2023-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,12,33.0
2023-09-15 12:00:00,0.0,0.0,0.0,0.0,0.0,164,1.6341463414634145
2023-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,28,0.35714285714285715
2023-09-16 12:00:00,0.0,0.0,0.0,0.0,0.0,3,0.6666666666666666
2023-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,20,18.25
2023-09-17 12:00:00,0.0,0.0,0.0,0.0,0.0,6,1.1666666666666667
2023-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,8,17.0
2023-09-18 12:00:00,0.0,0.0,0.0,0.0,0.0,7,2.4285714285714284
2023-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,8,0.625
2023-09-19 12:00:00,0.0,0.0,0.0,0.0,0.0,3,28.0
